id,Phrase,Anchor_or_Target
1,abatement,anchor
2,abnormal_position,anchor
3,absorbent_properties,anchor
4,acan,anchor
5,accept_information,anchor
6,achieve_authentication,anchor
7,acid_absorption,anchor
8,ack,anchor
9,acoustooptic_modulator,anchor
10,acrylate_groups,anchor
11,activating_position,anchor
12,acylate_with_acids,anchor
13,adapt_for_learning,anchor
14,adaptive_linear,anchor
15,adhesive_mounting,anchor
16,adjacent_laterally,anchor
17,adjust_gas_flow,anchor
18,adjustable_multiple,anchor
19,aesthetic_effects,anchor
20,agitate_means,anchor
21,air_flow_line,anchor
22,air_vent_openings,anchor
23,align_with_input_shaft,anchor
24,alpha_gypsum,anchor
25,alphatic,anchor
26,aluminium_compounds,anchor
27,alumino_silicates,anchor
28,ammonia_recovery,anchor
29,androgen_receptor_modulators,anchor
30,angular_contact_bearing,anchor
31,animal_fats,anchor
32,annular_ends,anchor
33,annular_neck,anchor
34,antiatherosclerotic,anchor
35,antidiuretic,anchor
36,antigen_composition,anchor
37,apart_elongated,anchor
38,application_messaging,anchor
39,apply_on_tube,anchor
40,apply_to_anode_electrode,anchor
41,apply_to_muscle,anchor
42,apply_to_requests,anchor
43,appropriate_adjustment,anchor
44,aralkynyl,anchor
45,arc_type,anchor
46,arcade,anchor
47,arcuate_means,anchor
48,arm_design,anchor
49,arm_roller,anchor
50,arrange_in_fashion,anchor
51,associated_log,anchor
52,automatic_coffee,anchor
53,auxiliary_water,anchor
54,average_impact,anchor
55,average_pore_size,anchor
56,average_power_ratio_reduction,anchor
57,axial_extension,anchor
58,axle_boxes,anchor
59,azabicyclo,anchor
60,bandedge,anchor
61,base_fuels,anchor
62,based_interpolation,anchor
63,based_method,anchor
64,based_propellant,anchor
65,based_writing,anchor
66,battery_cell_assembly,anchor
67,battery_heater,anchor
68,battery_monitoring_circuit,anchor
69,beam_traveling_direction,anchor
70,belt_shifting,anchor
71,biocytin,anchor
72,biomimetic,anchor
73,block_selection_signal,anchor
74,blooming_drains,anchor
75,board_id,anchor
76,board_manufacture,anchor
77,boom_hydraulic_cylinder,anchor
78,brake_arms,anchor
79,breech_mechanism,anchor
80,broadband_information,anchor
81,browsers,anchor
82,brush_guard,anchor
83,buck_converter_circuit,anchor
84,buffer_strip,anchor
85,cable_securing,anchor
86,cache_segments,anchor
87,calibration_status,anchor
88,calling_card,anchor
89,cap_component,anchor
90,carburization,anchor
91,carpet_tiles,anchor
92,carrier_transportation,anchor
93,carry_by_platform,anchor
94,catalyst_paste,anchor
95,catching_surface,anchor
96,catheter_distal_end,anchor
97,cathode_layer,anchor
98,cement_composite,anchor
99,central_communication_unit,anchor
100,central_flow_path,anchor
101,central_nucleus,anchor
102,cervical_support,anchor
103,chagas_disease,anchor
104,channel_vectors,anchor
105,chemical_activity,anchor
106,chemically_modified_polymers,anchor
107,chip_form,anchor
108,chirped_optical,anchor
109,churned,anchor
110,circumferential_clamp,anchor
111,cleaner_system,anchor
112,clear_buffer,anchor
113,clock_input,anchor
114,clocked_storage,anchor
115,clods,anchor
116,close_gate,anchor
117,coat_with_conducting_layer,anchor
118,coaxial_cable_transmission,anchor
119,cochineal,anchor
120,cold_state,anchor
121,collator,anchor
122,color_difference_signal,anchor
123,combination_function,anchor
124,combine_with_optical_elements,anchor
125,combustion_elements,anchor
126,come_into_relation,anchor
127,comfortability,anchor
128,committee,anchor
129,communicate_through_cavity,anchor
130,component_composite_coating,anchor
131,component_control,anchor
132,composite_slurry,anchor
133,composite_tile,anchor
134,compression_loss,anchor
135,comprise_in_refinement,anchor
136,conduct_cables,anchor
137,conduct_conducting_material,anchor
138,conductive_position,anchor
139,conductor_particles,anchor
140,congruency,anchor
141,conh2,anchor
142,conical_path,anchor
143,connect_to_common_conductor,anchor
144,connect_to_electrode_structure,anchor
145,connect_with_conduits,anchor
146,connected_means,anchor
147,connecting_lines,anchor
148,connection_speeds,anchor
149,consist_of_oxalic_acid,anchor
150,consist_of_selection,anchor
151,contact_cable,anchor
152,contain_bacterial_cells,anchor
153,contain_based_resin,anchor
154,contain_elastomer,anchor
155,contain_sulfur_compounds,anchor
156,container_opener,anchor
157,container_section,anchor
158,content_analysis,anchor
159,control_in_steps,anchor
160,cooled_reaction,anchor
161,corresponding_toothed,anchor
162,coupling_arms,anchor
163,coupling_factor,anchor
164,crank,anchor
165,crystal_thin,anchor
166,curing_resin_composition,anchor
167,cut_from_stack,anchor
168,cyanoacrylate_polymer,anchor
169,cyclic_alcohols,anchor
170,dac_system,anchor
171,data_output_circuit,anchor
172,data_tree,anchor
173,decompressor,anchor
174,decoy_oligonucleotide,anchor
175,decreased_power,anchor
176,define_by_memory,anchor
177,define_panel,anchor
178,deflect_light,anchor
179,demodulator,anchor
180,dental_aligners,anchor
181,derived_class,anchor
182,descriptive_term,anchor
183,deteriorated,anchor
184,determine_from_analysis,anchor
185,dicy,anchor
186,diesel_fuel_tank,anchor
187,different_circumferential_positions,anchor
188,different_conductivity,anchor
189,diffuse_in_substrate,anchor
190,digital_multimeters,anchor
191,dihalo_compound,anchor
192,dimensional_location,anchor
193,dimple_arrangement,anchor
194,direct_received_light,anchor
195,disk_type_recording_medium,anchor
